FRAME,LOWER BODY,UPPER BODY,PCJ
1,4,3,0.583333333
2,4,3,0.583333333
3,4,3,0.583333333
4,4,3,0.583333333
5,4,3,0.583333333
6,4,3,0.583333333
7,3,3,0.5
8,4,3,0.583333333
9,4,2,0.5
10,3,3,0.5
11,3,2,0.4166666670000001
12,3,3,0.5
13,4,3,0.583333333
14,3,2,0.4166666670000001
15,3,2,0.4166666670000001
16,4,2,0.5
17,3,2,0.4166666670000001
18,4,3,0.583333333
19,4,3,0.583333333
20,4,3,0.583333333
21,3,3,0.5
22,3,3,0.5
23,3,3,0.5
24,3,3,0.5
25,4,2,0.5
26,4,3,0.583333333
27,3,1,0.333333333
28,3,2,0.4166666670000001
29,2,0,0.166666667
30,3,0,0.25
31,3,1,0.333333333
32,2,0,0.166666667
33,3,2,0.4166666670000001
34,3,1,0.333333333
35,5,1,0.5
36,3,2,0.4166666670000001
37,3,2,0.4166666670000001
38,4,1,0.4166666670000001
39,3,1,0.333333333
40,3,0,0.25
41,4,0,0.333333333
42,3,0,0.25
43,2,0,0.166666667
44,2,0,0.166666667
45,6,1,0.583333333
46,6,2,0.666666667
47,6,1,0.583333333
48,3,0,0.25
49,3,0,0.25
50,6,1,0.583333333
51,6,1,0.583333333
52,6,1,0.583333333
53,6,1,0.583333333
54,4,1,0.4166666670000001
55,3,1,0.333333333
56,4,1,0.4166666670000001
57,3,1,0.333333333
58,2,0,0.166666667
59,6,1,0.583333333
60,3,0,0.25
61,0,0,0.0
62,1,0,0.083333333
63,6,1,0.583333333
64,4,1,0.4166666670000001
65,2,0,0.166666667
66,5,1,0.5
67,3,1,0.333333333
68,3,0,0.25
